class,rows_total,rows_train,rows_test,test_ratio_actual
Teleostei,3965,2775,1190,0.30012610340479196
Mammalia,467,327,140,0.29978586723768735
Insecta,261,183,78,0.2988505747126437
Reptilia,206,144,62,0.30097087378640774
Amphibia,191,134,57,0.29842931937172773
Malacostraca,158,111,47,0.2974683544303797
Aves,148,104,44,0.2972972972972973
Cephalaspidomorphi,68,48,20,0.29411764705882354
Arachnida,53,37,16,0.3018867924528302
Chondrichthyes,49,34,15,0.30612244897959184
Chondrostei,46,32,14,0.30434782608695654
Maxillopoda,17,12,5,0.29411764705882354
Cephalopoda,14,10,4,0.2857142857142857
Branchiopoda,13,9,4,0.3076923076923077
Dipnotetrapodomorpha,10,7,3,0.3
Aconoidasida,2,1,1,0.5
Ciliatea,2,1,1,0.5
Myxini,2,1,1,0.5
